ticker,market_type,corp_name,corp_code
A001550,KOSPI,(주)조비,1101110086599
A002360,KOSPI,(주)SH에너지화학,1341110000210
A039570,KOSPI,에이치디씨랩스(주),1101111775365
A192400,KOSPI,쿠쿠홀딩스(주),1845110000634
A035000,KOSPI,(주)에이치에스애드,1101110375398
A009470,KOSPI,삼화전기(주),1501110000856
A017180,KOSPI,명문제약(주),1341110013180
A100220,KOSPI,(주)비상교육,1101112427098
A086450,KOSDAQ,동국제약(주),1101110094477
A226320,KOSPI,(주)잇츠한불,1101113394048
A011700,KOSPI,한신기계공업(주),1301110010346
A048410,KOSDAQ,현대바이오사이언스(주),1344110015693
A382900,KOSDAQ,범한퓨얼셀 주식회사,1942110310912
A323990,KOSDAQ,주식회사 박셀바이오,2052110029832
A003220,KOSPI,대원제약(주),1101110103955
A361610,KOSPI,에스케이아이이테크놀로지 주식회사,1101117064217
A001530,KOSPI,디아이동일(주),1101110019219
A307950,KOSPI,현대오토에버(주),1101111935638
A027740,KOSPI,(주)마니커,1345110004149
A031440,KOSPI,(주)신세계푸드,1101110305288
A102940,KOSDAQ,코오롱생명과학(주),1101111948277
A000250,KOSDAQ,삼천당제약(주),1348110003327
A002100,KOSPI,(주)경농,1101110089395
A014790,KOSPI,에이치엘디앤아이한라(주),1101110274699
A064800,KOSDAQ,(주)포니링크,1101111931230
A000430,KOSPI,대원강업(주),1101110015556
A001470,KOSPI,삼부토건(주),1101110041634
A013890,KOSPI,(주)지누스,1347110002553
A049800,KOSPI,(주)우진플라임,1101110822993
A050890,KOSDAQ,(주)쏠리드,1101111603764
A107590,KOSPI,미원홀딩스(주),2101110063190
A000040,KOSPI,KR모터스(주),1601110007032
A000400,KOSPI,롯데손해보험(주),1101110014459
A002170,KOSPI,삼양통상(주),1101110033433
A451800,KOSPI,한화위탁관리부동산투자회사(주),1101118294037
A192650,KOSPI,(주)드림텍,1615110027883
A139480,KOSPI,(주)이마트,1101114594952
A001380,KOSPI,(주)SG글로벌,1615110000037
A138930,KOSPI,(주)BNK금융지주,1801110750893
A079980,KOSPI,(주)휴비스,1101112102070
A003610,KOSPI,(주)방림,1101110035108
A089590,KOSPI,(주)제주항공,2201110050575
A060150,KOSDAQ,인선이엔티(주),1159110017303
A372910,KOSPI,주식회사 한컴라이프케어,1345110021549
A092220,KOSPI,(주)케이이씨,1101113525750
A002710,KOSPI,(주)TCC스틸,1101110032112
A002840,KOSPI,미원상사(주),1301110007707
A243840,KOSDAQ,신흥에스이씨(주),1348110178873
A004250,KOSPI,엔피씨(주),1101110212699
A000150,KOSPI,(주)두산,1101110013774
A377190,KOSPI,주식회사 디앤디플랫폼위탁관리부동산투자회사,1101117420211
A009520,KOSDAQ,(주)포스코엠텍,1746110000866
A105560,KOSPI,(주)KB금융지주,1101113975517
A462870,KOSPI,(주)시프트업,1101115281897
A059090,KOSDAQ,(주)미코,1346110012744
A348950,KOSPI,(주)제이알글로벌위탁관리부동산투자회사,1101117263728
A011300,KOSPI,(주)성안머티리얼스,1701110006868
A006660,KOSPI,삼성공조(주),1942110000034
A036200,KOSDAQ,유니셈(주),1348110024878
A005740,KOSPI,(주)크라운해태홀딩스,1101110093552
A012200,KOSPI,계양전기(주),1101110212889
A086790,KOSPI,(주)하나금융지주,1101113352004
A003480,KOSPI,(주)한진중공업홀딩스,1101110110083
A051360,KOSDAQ,(주)토비스,1349110013457
A137400,KOSDAQ,(주)피엔티,1752110017454
A241710,KOSDAQ,(주)코스메카코리아,1545110016091
A009460,KOSPI,(주)한창제지,1845110000105
A032830,KOSPI,삼성생명보험(주),1101110005953
A093050,KOSPI,(주)LF,1101113555187
A267250,KOSPI,에이치디현대(주),1701110638661
A086890,KOSDAQ,(주)이수앱지스,1101112203951
A041960,KOSDAQ,(주)코미팜,1101110134372
A214430,KOSDAQ,아이쓰리시스템(주),1601110072738
A041020,KOSDAQ,(주)폴라리스오피스,1101111398117
A014130,KOSPI,(주)한익스프레스,1243110015051
A036540,KOSDAQ,(주)에스에프에이반도체,1615110027263
A298540,KOSDAQ,(주)더네이쳐홀딩스,1101112958259
A310200,KOSDAQ,(주)애니플러스,1101116895217
A081000,KOSPI,일진다이아몬드(주),1545110029242
A066570,KOSPI,LG전자(주),1101112487050
A001820,KOSPI,삼화콘덴서공업(주),1345110003696
A464080,KOSDAQ,(주)에스오에스랩,2001110465372
A036930,KOSDAQ,주성엔지니어링(주),1301110033281
A270520,KOSDAQ,(주)앱튼,1101116383543
A420770,KOSDAQ,기가비스(주),1345110078029
A228760,KOSDAQ,(주)지노믹트리,1601110105498
A003690,KOSPI,코리안리재보험(주),1101110226533
A004310,KOSPI,현대약품(주),1243110000250
A402340,KOSPI,에스케이스퀘어 주식회사,1101118077821
A069080,KOSDAQ,(주)웹젠,1101111955694
A004870,KOSPI,(주)티웨이홀딩스,1101110073413
A424870,KOSDAQ,(주)이뮨온시아,1345110299881
A067160,KOSDAQ,(주)숲,1101111263203
A141080,KOSDAQ,(주)리가켐 바이오사이언스,1601110206866
A009830,KOSPI,한화솔루션(주),1101110360935
A086980,KOSDAQ,(주)쇼박스,1101111712309
A036420,KOSPI,(주)콘텐트리중앙,1101110545751
A069620,KOSPI,(주)대웅제약,1348110075342
A257720,KOSDAQ,주식회사 실리콘투,1101112425448
A017040,KOSPI,(주)광명전기,1301110006270
A064260,KOSDAQ,(주)다날,1101111435810
A009070,KOSPI,(주)케이씨티시,1101110149446
A035600,KOSDAQ,(주)케이지이니시스,1101111602667
A353200,KOSPI,대덕전자(주),1314110460809
A005110,KOSPI,(주)한창,1801110000602
A376930,KOSDAQ,노을 주식회사,1101115906974
A000020,KOSPI,동화약품(주),1101110043870
A034120,KOSPI,(주)SBS,1101110731483
A007810,KOSPI,(주)코리아써키트,1301110026749
A248070,KOSPI,주식회사 솔루엠,1358110272682
A045970,KOSDAQ,(주)코아시아,1101110944622
A017810,KOSPI,(주)풀무원,1101110375439
A032560,KOSPI,(주)황금에스티,1101110504195
